Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
75240255,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,75240255
21398071,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",21398071
18442275,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,18442275
18442097,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,18442097
21398146,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",21398146
21398047,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",21398047
21397948,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",21397948
21397645,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",21397645
21397344,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",21397344
21397339,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21397339
17952558,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,17952558
17952250,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",17952250
